date,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,spotify_track_uri
2020-09-01,2020-09-01 15:04:00+00:00,42801,Mickey Mouse Crab Louse,Dillinger,spotify:track:1ahcg4pnVgS1uLKuPrDQwt
2020-09-01,2020-09-01 15:07:12+00:00,159480,Love and Affection,Bob Marley & The Wailers,spotify:track:6WgGAFqHbhfMMPAPsWGjUr
2020-09-01,2020-09-01 15:09:42+00:00,151240,Be Wise Brethren,George Allen,spotify:track:2VxemvbPWKow0wHgc6lUVB
2020-09-01,2020-09-01 15:12:14+00:00,154533,Things a Come Up to Bump,The Bassies,spotify:track:1uovPeJobSS2KW97czx1JU
2020-09-01,2020-09-01 15:14:30+00:00,138520,Make Me Believe in You,Devon Russell,spotify:track:0OV8NAyg9PMtJj848ZMWoF
2020-09-01,2020-09-01 15:16:54+00:00,146253,Surfin,Ernest Ranglin,spotify:track:5pkagzBGG4ef06SnbJXCx1
2020-09-01,2020-09-01 15:19:32+00:00,159800,Chuky Skank,Dillinger,spotify:track:1VZSCUf3XxiGbc8r51Tw5K
2020-09-01,2020-09-01 15:22:45+00:00,194746,007,The Soul Brothers,spotify:track:7hUn4yo9jjMQtJadXlXvKY
2020-09-01,2020-09-01 15:25:45+00:00,182253,Reggae Version,Bago,spotify:track:5NkpYtmq3gviz7Aj3g8oOc
2020-09-01,2020-09-01 15:29:19+00:00,215946,Namibia,Liberation Group,spotify:track:5WJqGl5Nu2kyobnSRPw0B3
2020-09-01,2020-09-01 15:32:29+00:00,191813,How Could I Live,The Sharks,spotify:track:0shvJ87r0wZJQ6xR8m7nyG
2020-09-01,2020-09-01 15:35:19+00:00,172266,Simmer Down,The Wailers,spotify:track:7nXKUIheOyysKPOISIfvMp
2020-09-01,2020-09-01 15:37:28+00:00,131306,Sun Is Shining,Winston Matthews,spotify:track:1eka4A5mikb1XaKWUOjnHx
2020-09-01,2020-09-01 15:40:34+00:00,186560,Give a Helping Hand,The Gaylads,spotify:track:4cPXRXPbonsJZNneRX14KG
2020-09-01,2020-09-01 15:43:22+00:00,171800,It's a Shame,Alton Ellis,spotify:track:1eB3jA9vuJu6U0tqyiQAAd
2020-09-01,2020-09-01 15:46:14+00:00,173080,Danger in Your Eyes,The Paragons,spotify:track:0yl73KYLWvmTLg71msXOQK
2020-09-01,2020-09-01 15:50:06+00:00,233653,Drum Song,Devon Russell,spotify:track:5sWV8DR73j6W66h8kFwyl0
2020-09-01,2020-09-01 15:53:32+00:00,207880,Red Robe,Little Joe,spotify:track:6UAMJUbdHlMrv3gKeeKFnm
2020-09-01,2020-09-01 15:56:26+00:00,177000,Jericho Skank,Jackie Mittoo,spotify:track:4ZFOEhvi4GLUiIE8EPLADh
2020-09-01,2020-09-01 15:58:39+00:00,135040,Giddy Up,The Actions,spotify:track:7rKyHA4WzGkJHz5XJmhhto
2020-09-01,2020-09-01 15:59:01+00:00,22019,Reggae Feet,Lloyd Williams,spotify:track:49mwC8YbRCPmmysK4Eux7v
2020-09-01,2020-09-01 16:01:22+00:00,141800,Rudie Bam Bam,The Clarendonians,spotify:track:13hpBbo65O7oKUhXmJPBKM
2020-09-01,2020-09-01 16:04:17+00:00,176706,You'll Get Your Pay,Linton Cooper,spotify:track:5gFGlv8qlA7ZFxCUmhALXO
2020-09-01,2020-09-01 16:07:16+00:00,180840,Westbound Train,Jacob Miller,spotify:track:5k991QOrLEcWFo9X4XyPK2
2020-09-01,2020-09-01 16:09:59+00:00,165746,Watch Out Version,Albert,spotify:track:6mNW9aXqLjoSGClxgb8blf
2020-09-01,2020-09-01 16:13:05+00:00,188333,Ringo Rock,Soul Vendors,spotify:track:7sZwtr306BShPtZIO2hFpi
2020-09-01,2020-09-01 16:16:04+00:00,181693,Truth and Rights,Johnny Osbourne,spotify:track:6GlqJG2mnJIL9dhVHku4JV
2020-09-01,2020-09-01 16:20:01+00:00,238066,Trouble Maker,Wailing Souls,spotify:track:0jWXPJlBZtwvRGZOsm3zZ9
2020-09-01,2020-09-01 16:22:36+00:00,156026,Meditation,The Cyclones,spotify:track:3D14A7SQ6NBA4NGXlhOeWl
2020-09-02,2020-09-02 12:36:50+00:00,161812,Maximum Style (Lover To Lover),Tom & Jerry,spotify:track:5aqLROQOpWX2H8Q3b0IB6b
2020-09-02,2020-09-02 12:38:24+00:00,89874,Crab in My Pants,Dillinger,spotify:track:1eBgj44Z2fdJYYNgqSVLhw
2020-09-04,2020-09-04 16:13:00+00:00,47897,Addis Ababa,The Skatalites,spotify:track:4xLvels8F2swowQYlKkszb
2020-09-04,2020-09-04 16:17:18+00:00,29273,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,spotify:track:0ccCwNzXvr1Yoz91vKz31Z
2020-09-04,2020-09-04 16:17:19+00:00,1212,Momentary Bliss (feat. slowthai and Slaves),Gorillaz,spotify:track:3iYUYQZidlttLNt0iw7QD9
2020-09-04,2020-09-04 16:17:20+00:00,654,Ghost Ship,Blur,spotify:track:61JDaStnXY3vbaEjliB5WA
2020-09-04,2020-09-04 16:18:08+00:00,46490,To Binge (feat. Little Dragon),Gorillaz,spotify:track:1dvOwoHwZB9SwvRw2Gv3nz
2020-09-04,2020-09-04 16:18:11+00:00,3541,Intro,Gorillaz,spotify:track:2zavoMfVVPJMikH57fd8yK
2020-09-04,2020-09-04 16:18:41+00:00,29730,Last Living Souls,Gorillaz,spotify:track:7JzmCjvB6bk48JghLyrg8N
2020-09-04,2020-09-04 16:25:43+00:00,420426,Passion,Nightmares On Wax,spotify:track:7wCKhwl0LZ1opdKcWrGSI7
2020-09-04,2020-09-04 16:31:06+00:00,324733,The Sweetest,Nightmares On Wax,spotify:track:4H1N9jJNDqNOEeZ04PlyRP
2020-09-04,2020-09-04 16:36:30+00:00,324173,Flip Ya Lid,Nightmares On Wax,spotify:track:5ftamIDoDRpEvlZinDuNNW
2020-09-04,2020-09-04 16:37:03+00:00,31923,Pudpots,Nightmares On Wax,spotify:track:781IMhJuE1tNoZMMv1307D
2020-09-04,2020-09-04 16:41:47+00:00,284160,Travelling Song,Quantic,spotify:track:4DsnrzO7rOaGND5tqNF7bN
2020-09-04,2020-09-04 16:45:25+00:00,219880,Time Is the Enemy,Quantic,spotify:track:24ylIO48nRsdaONlM8l2HF
2020-09-04,2020-09-04 16:48:51+00:00,208506,Nights Interlude,Nightmares On Wax,spotify:track:2aXIPVnfoafaiR0EOQIEIP
2020-09-04,2020-09-04 16:49:30+00:00,39858,Scale It Back - Radio Edit,DJ Shadow,spotify:track:36cPAjE8pUyFKoAqOuNpew
2020-09-04,2020-09-04 16:49:32+00:00,1834,A Tune for Jack,Lemon Jelly,spotify:track:1GYVFolrzA1ZWirojv1FNM
2020-09-04,2020-09-04 16:49:35+00:00,2456,Ghetto in Paradise,Guts,spotify:track:6MtX9yBR4b0AwdNKBawutU
2020-09-04,2020-09-04 16:49:37+00:00,1210,Let the Funk Ride,Aim,spotify:track:23t2WMVoYKR9XqLVsk6WAG
2020-09-04,2020-09-04 16:53:39+00:00,242800,A grand love theme,Kid Loco,spotify:track:0pg2VKzTsBdbxPzcOkReY2
2020-09-04,2020-09-04 16:57:27+00:00,229520,Days To Come,Bonobo,spotify:track:1mRTSIs40qa2L7omBzQd1u
2020-09-04,2020-09-04 17:01:30+00:00,245357,San San Rock,Thievery Corporation,spotify:track:0hpVsKtKOhxY3QYtzat4YI
2020-09-04,2020-09-04 17:06:28+00:00,300693,Yes Baby Yes,Mo' Horizons,spotify:track:2NxIOFFrMxjeiPogqIkno1
2020-09-04,2020-09-04 17:11:51+00:00,324173,Flip Ya Lid,Nightmares On Wax,spotify:track:5ftamIDoDRpEvlZinDuNNW
2020-09-04,2020-09-04 17:15:54+00:00,245640,Today,Zero 7,spotify:track:0jiKqHfWmSgPInSsGWBjbL
2020-09-04,2020-09-04 17:22:23+00:00,391000,Suntoucher,Groove Armada,spotify:track:4OUvfa7eO5jvFMIMOU7MTb
2020-09-04,2020-09-04 17:27:30+00:00,308733,El camino negro,Tommy Guerrero,spotify:track:46TKHBSVXIOYjfi3pp6X7F
2020-09-04,2020-09-04 17:29:53+00:00,145333,Good Morning,Guts,spotify:track:1cM1zsjodzOVdB4kFL0puv
2020-09-04,2020-09-04 17:29:54+00:00,1205,Happy,Rae & Christian,spotify:track:6Xodd3wwjgU8FRqIX5fkgH
2020-09-04,2020-09-04 17:29:58+00:00,4370,Good Morning,Guts,spotify:track:1cM1zsjodzOVdB4kFL0puv
2020-09-04,2020-09-04 17:30:48+00:00,48863,Happy,Rae & Christian,spotify:track:6Xodd3wwjgU8FRqIX5fkgH
2020-09-04,2020-09-04 17:30:52+00:00,3948,Why Can't We Live Together,Nickodemus,spotify:track:5EaiT0XYWDUVi8AQay4aYO
2020-09-04,2020-09-04 17:30:54+00:00,1460,Que Sera,Wax Tailor,spotify:track:0lnfcWRREvnGtXPP2ZDeq7
2020-09-04,2020-09-04 17:38:44+00:00,470000,Why Can't We Live Together,Nickodemus,spotify:track:5EaiT0XYWDUVi8AQay4aYO
2020-09-04,2020-09-04 17:41:24+00:00,164093,Que Sera,Wax Tailor,spotify:track:0lnfcWRREvnGtXPP2ZDeq7
2020-09-04,2020-09-04 17:46:45+00:00,322026,Mary L.,St Germain,spotify:track:1LK04nhkS3aQLkGsqcvg2w
2020-09-04,2020-09-04 17:50:48+00:00,244720,True Sons of Zion,Thievery Corporation,spotify:track:4KR0MPuDrJBXc7nDeQoEb7
2020-09-04,2020-09-04 17:54:35+00:00,230266,The Richest Man In Babylon,Thievery Corporation,spotify:track:6vxkqv1JheZ13gppcxHRXO
2020-09-04,2020-09-04 18:00:06+00:00,332853,70s 80s,Nightmares On Wax,spotify:track:57sa60SXzxzxcSZogh0j60
2020-09-04,2020-09-04 18:04:48+00:00,284026,Let The Chalice Blaze,Thievery Corporation,spotify:track:4pDeigJyLKpkOA14ZllSQP
2020-09-04,2020-09-04 18:11:53+00:00,426173,Ramblin' Man,Lemon Jelly,spotify:track:5eS6dUL1WjRbAwZqvEBA0H
2020-09-06,2020-09-06 09:29:39+00:00,81271,Smile,Guinney Pepper,spotify:track:71SY7uJgjQaUPA7FeSrD6U
2020-09-06,2020-09-06 09:33:36+00:00,218899,you only live once,isaac gracie,spotify:track:56XYGgS2hXgcPXf7CHioDY
2020-09-06,2020-09-06 09:37:58+00:00,261337,Goodpain - Recorded at Spotify Studios NYC,Yoke Lore,spotify:track:2ldb6EW2R2aiSlYOK2kOLy
2020-09-06,2020-09-06 09:41:30+00:00,211893,Confetti,Casey Dubie,spotify:track:7J7mAxVSouiIEQvnTQpO2t
